-1.915E2,-1.72E1,-1.293E1,-1.461E0,1.022E0,6.065E-1,-3.4E0,-3.169E0,-8.413E-1,7.013E0,1.46E0,-9.517E0,-1.108E0
-1.819E2,-1.742E1,-1.304E1,-1.471E0,1.049E0,6.181E-1,-3.453E0,-3.184E0,-8.474E-1,7.121E0,1.506E0,-9.631E0,-1.122E0
-1.814E2,-1.767E1,-1.312E1,-1.493E0,1.117E0,6.751E-1,-3.481E0,-3.192E0,-8.756E-1,7.253E0,1.535E0,-9.774E0,-1.139E0
-1.807E2,-1.792E1,-1.321E1,-1.501E0,1.16E0,7.355E-1,-3.5E0,-3.224E0,-9.151E-1,7.359E0,1.555E0,-9.904E0,-1.164E0
-1.799E2,-1.811E1,-1.33E1,-1.52E0,1.2E0,7.573E-1,-3.564E0,-3.263E0,-9.665E-1,7.451E0,1.571E0,-1.003E1,-1.198E0
-1.794E2,-1.828E1,-1.336E1,-1.586E0,1.236E0,7.706E-1,-3.611E0,-3.295E0,-9.875E-1,7.577E0,1.623E0,-1.013E1,-1.197E0
-1.791E2,-1.839E1,-1.341E1,-1.632E0,1.254E0,7.847E-1,-3.631E0,-3.295E0,-1.018E0,7.7E0,1.685E0,-1.023E1,-1.219E0
-1.791E2,-1.846E1,-1.34E1,-1.65E0,1.263E0,7.889E-1,-3.643E0,-3.276E0,-1.039E0,7.743E0,1.71E0,-1.025E1,-1.219E0
-1.791E2,-1.845E1,-1.34E1,-1.661E0,1.264E0,7.871E-1,-3.659E0,-3.277E0,-1.061E0,7.742E0,1.699E0,-1.025E1,-1.207E0
-1.792E2,-1.847E1,-1.338E1,-1.656E0,1.279E0,7.936E-1,-3.656E0,-3.274E0,-1.083E0,7.772E0,1.699E0,-1.027E1,-1.216E0
-1.794E2,-1.853E1,-1.339E1,-1.663E0,1.29E0,8.167E-1,-3.669E0,-3.276E0,-1.07E0,7.782E0,1.705E0,-1.028E1,-1.231E0
-1.795E2,-1.856E1,-1.34E1,-1.675E0,1.327E0,8.308E-1,-3.643E0,-3.276E0,-1.074E0,7.791E0,1.711E0,-1.03E1,-1.229E0
-1.797E2,-1.858E1,-1.34E1,-1.663E0,1.379E0,8.462E-1,-3.641E0,-3.298E0,-1.063E0,7.799E0,1.71E0,-1.031E1,-1.235E0
-1.801E2,-1.857E1,-1.341E1,-1.664E0,1.392E0,8.499E-1,-3.638E0,-3.32E0,-1.042E0,7.81E0,1.721E0,-1.03E1,-1.233E0
-1.807E2,-1.85E1,-1.341E1,-1.659E0,1.393E0,8.418E-1,-3.602E0,-3.309E0,-1.015E0,7.809E0,1.716E0,-1.027E1,-1.221E0
-1.813E2,-1.838E1,-1.337E1,-1.632E0,1.403E0,8.645E-1,-3.605E0,-3.332E0,-9.893E-1,7.788E0,1.689E0,-1.024E1,-1.223E0
-1.823E2,-1.827E1,-1.329E1,-1.62E0,1.412E0,8.605E-1,-3.595E0,-3.343E0,-9.607E-1,7.791E0,1.694E0,-1.019E1,-1.233E0
-1.831E2,-1.809E1,-1.315E1,-1.59E0,1.435E0,8.839E-1,-3.584E0,-3.341E0,-9.449E-1,7.749E0,1.685E0,-1.013E1,-1.242E0
-1.84E2,-1.79E1,-1.303E1,-1.576E0,1.457E0,8.874E-1,-3.545E0,-3.308E0,-9.198E-1,7.708E0,1.688E0,-1.004E1,-1.248E0
-1.849E2,-1.775E1,-1.295E1,-1.562E0,1.469E0,8.837E-1,-3.49E0,-3.272E0,-8.813E-1,7.664E0,1.695E0,-9.946E0,-1.261E0
-1.858E2,-1.761E1,-1.288E1,-1.541E0,1.479E0,8.772E-1,-3.457E0,-3.246E0,-8.643E-1,7.602E0,1.705E0,-9.861E0,-1.282E0
-1.865E2,-1.744E1,-1.282E1,-1.519E0,1.482E0,8.662E-1,-3.436E0,-3.222E0,-8.503E-1,7.532E0,1.704E0,-9.772E0,-1.301E0
-1.873E2,-1.728E1,-1.276E1,-1.505E0,1.524E0,8.792E-1,-3.415E0,-3.202E0,-8.555E-1,7.468E0,1.712E0,-9.676E0,-1.324E0
-1.88E2,-1.714E1,-1.272E1,-1.496E0,1.506E0,8.592E-1,-3.416E0,-3.189E0,-8.402E-1,7.428E0,1.73E0,-9.576E0,-1.335E0
-1.887E2,-1.704E1,-1.271E1,-1.502E0,1.47E0,8.61E-1,-3.402E0,-3.174E0,-8.154E-1,7.382E0,1.762E0,-9.468E0,-1.359E0
-1.985E2,-1.685E1,-1.26E1,-1.495E0,1.439E0,8.411E-1,-3.379E0,-3.142E0,-7.996E-1,7.307E0,1.755E0,-9.363E0,-1.342E0
