@RELATION sound

@ATTRIBUTE mfcc NUMERIC
@ATTRIBUTE class {classical, jazz, hiphop, rock}


@DATA
0.04897440303645782,hiphop
-1.9134957893488123,hiphop
-0.3028785788690851,hiphop
0.29472121634540344,hiphop
0.4286675000885362,hiphop
0.3105654452060368,hiphop
0.8680347821691424,hiphop
0.6444702700461915,hiphop
0.46244722452148057,hiphop
-0.0931927042356263,hiphop
-0.05349660270652987,hiphop
-0.04290016328603555,hiphop
-0.1384373423055328,hiphop
0.5257163539915084,hiphop
0.5792570531052165,hiphop
-0.18488781104200902,hiphop
0.26550861095559025,hiphop
0.37052738650158423,hiphop
0.2263155338315127,hiphop
-0.2830029301021334,hiphop
-0.45000308532747163,hiphop
0.1362657910296649,hiphop
0.07737019823554801,hiphop
-0.03009092168278927,hiphop
0.09905773692051772,hiphop
0.26754820947943264,hiphop
0.7126289352852069,hiphop
0.6927155483639916,hiphop
0.568779491805637,hiphop
0.5639377116774453,hiphop
0.38546284379995777,hiphop
0.3323847010386547,hiphop
-0.15788938397417585,hiphop
-0.2857907098224495,hiphop
0.15695791087997038,hiphop
-0.2857907098224495,hiphop
-0.45800442587464735,hiphop
-0.0880236007639328,hiphop
-0.4136449528246538,hiphop
-0.26654507810462646,hiphop
-0.27182387367232913,hiphop
-1.1528576101409744,hiphop
-0.24674705300315608,hiphop
-0.36134514537049023,hiphop
-0.15302508953061433,hiphop
-0.2235340176817385,hiphop
0.03796266268121104,hiphop
-0.11105796341071966,hiphop
-0.06556151135347871,hiphop
0.15134629534133584,hiphop
-0.48956604671922765,hiphop
0.015627111060077976,hiphop
-0.12103257689879768,hiphop
-0.22950124946197084,hiphop
-0.03519264775552411,hiphop
0.011899570383726873,hiphop
-0.8166514249061424,hiphop
-1.5660570585672215,jazz
-1.7625720295317646,jazz
-1.3101470316124022,jazz
-1.079366571261801,jazz
-0.7304489929132684,jazz
-0.4431620785074397,jazz
-0.5612838769853276,jazz
-0.9021481553804771,jazz
-0.22931682893697727,jazz
-0.8288614200102347,jazz
-0.9159553392959829,jazz
-0.7059665391226673,jazz
-1.1869432722145503,jazz
-0.6898722425782619,jazz
-2.2999183267522265,jazz
-0.7706134343793436,jazz
-1.2224486700917891,jazz
-1.2238587701096753,jazz
-0.7239733759564483,jazz
-0.8078656269266348,jazz
-1.515061933762402,jazz
-0.8538416684705538,jazz
-1.2018225481604783,jazz
-0.34903931209833494,jazz
-0.7177202963251674,jazz
-0.9067674353080579,jazz
-2.068895369867986,jazz
-0.92709761873152,jazz
-1.1635488713749305,jazz
-1.351749751436389,jazz
-1.6944080490361713,jazz
-0.9061526332275494,jazz
-1.558065571769692,jazz
-0.978638644958485,jazz
-0.36890673143526936,jazz
-0.9250273084255132,jazz
-1.1958314028725152,jazz
-0.37150896115682985,jazz
-0.7009153046779985,jazz
-0.6290219760559219,jazz
-0.7965730604365895,jazz
-0.7787160041266701,jazz
-1.2339772551028976,jazz
-0.6180734495181284,jazz
-0.5503029773796891,jazz
-0.8611413838673738,jazz
-0.9029406292334113,jazz
-0.9189341046773779,jazz
-0.9411337563210497,jazz
-1.0233513983012419,jazz
0.6181147358252552,jazz
-0.9772596239578802,jazz
0.4404562226136056,jazz
-0.3638599415396172,jazz
-0.0012739467970022443,jazz
-0.9227192425515268,jazz
0.5240927557219093,jazz
-1.3233310536659724,jazz
-1.1864313803009945,jazz
0.16937483209790768,jazz
-0.356877944664158,jazz
0.6243001888066111,jazz
-0.6838228176546484,jazz
0.2564492605094179,jazz
0.37144126411151934,jazz
-0.6264078839096686,jazz
-0.20887478570291051,jazz
-0.7924842488003357,jazz
-1.2299119191010859,jazz
-0.5955861464608647,jazz
-0.5393768780635636,jazz
-0.8574204430172039,jazz
-0.8983827844110682,jazz
-0.24808248420552007,jazz
-0.6162117722401869,jazz
-0.2764522375437895,jazz
-0.582545623595064,jazz
-0.27662719464937024,jazz
-0.6507492953576828,jazz
-0.3488194021351081,jazz
-0.2975008346687988,jazz
-0.6938940734309157,jazz
-0.759197896554165,jazz
-0.34608419290970865,jazz
-0.6551117935868318,jazz
-0.664988600890439,jazz
-1.003861190339691,jazz
-1.1853199068770905,jazz
-0.37498838995702466,jazz
-0.9701340148041628,jazz
-1.0371743035563812,jazz
-1.6026777741757994,jazz
-1.17701222079717,jazz
-1.0519290282470997,jazz
-1.398366065708849,jazz
-0.5656954137404576,jazz
-0.9557521048604666,jazz
-1.9906078709238575,jazz
-0.5794578392321581,jazz
-1.0571829256389,jazz
-0.38978349203228213,rock
0.09513961420798826,rock
-0.1128702342285885,rock
0.14366914427205799,rock
0.36387714776678703,rock
0.1755011982742081,rock
-0.27792943321287383,rock
-0.10257889633595142,rock
0.46898631882158465,rock
-0.16201971280303104,rock
-0.06494285870189104,rock
-0.2125161849227513,rock
-0.7910402600050271,rock
-0.09693573039522349,rock
